 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.64806592E-02  3.23902326E-01 -1.23040211E-01
   1.65206608E-02  3.23212716E-01 -1.23070298E-01
   1.65606624E-02  3.22519477E-01 -1.23099560E-01
   1.66006640E-02  3.21822625E-01 -1.23127998E-01
   1.66406656E-02  3.21122178E-01 -1.23155615E-01
   1.66806672E-02  3.20418153E-01 -1.23182413E-01
   1.67206688E-02  3.19710565E-01 -1.23208394E-01
   1.67606704E-02  3.18999433E-01 -1.23233561E-01
   1.68006720E-02  3.18284774E-01 -1.23257916E-01
   1.68406736E-02  3.17566603E-01 -1.23281460E-01
   1.68806752E-02  3.16844938E-01 -1.23304197E-01
   1.69206768E-02  3.16119795E-01 -1.23326128E-01
   1.69606784E-02  3.15391192E-01 -1.23347255E-01
   1.70006800E-02  3.14659144E-01 -1.23367581E-01
   1.70406816E-02  3.13923669E-01 -1.23387108E-01
   1.70806832E-02  3.13184783E-01 -1.23405838E-01
